run_label	subsample_fraction	dataset_id	component_family	ablation_id	variant_label	n_rows	n_repeats	mean_label_ari	label_ari_ci95_low	label_ari_ci95_high	label_ari_sd	mean_label_nmi	mean_batch_ari	batch_ari_ci95_low	batch_ari_ci95_high	batch_ari_sd	mean_batch_nmi	mean_signal_pcs	mean_embedding_pcs	mean_cluster_n	no_call_rate	mean_runtime_seconds
subsample80_pilot10	0.8	pdac_gse263733	adaptive_embedding	embedding_strict_signal	strict signal embedding	20	20	0.5388383914382121	0.5123904496969355	0.5652863331794887	0.06034632203923342	0.6828066414784818	0.05306319164773256	0.0484279643896485	0.05769841890581662	0.01057620738799583	0.15786153869326267	29.05	29.05	8.8	0.0	24.410099655002703
subsample80_pilot10	0.8	pdac_gse263733	batch_residualization	batch_residualized	batch residualized fit	20	20	0.5391754242030764	0.5159513541066448	0.562399494299508	0.052990407601878724	0.67119752732888	0.03554182440911556	0.033635993480216494	0.03744765533801463	0.004348538276163144	0.11538739644969949	21.8	24.05	8.1	0.0	28.374764320002576
subsample80_pilot10	0.8	pdac_gse263733	biwhitening	whiten_zscore	z-score whitening	20	20	0.4655362623757652	0.4472704362176987	0.48380208853383166	0.04167717240268415	0.666400590053051	0.06158845985821959	0.058942356161508586	0.0642345635549306	0.006037620144244175	0.1952256665829546	50.0	50.0	11.15	0.0	27.60518679000088
subsample80_pilot10	0.8	pdac_gse263733	hvg_selection	hvg_rule_dispersion	dispersion HVG	20	20	0.5254903286038671	0.5027776573456557	0.5482029998620785	0.05182354784078193	0.6827449185073056	0.04820797757625768	0.044892936839681645	0.051523018312833714	0.007563935137923452	0.14590153576389853	25.95	27.4	8.7	0.0	25.69363765000162
subsample80_pilot10	0.8	pdac_gse263733	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	20	20	0.5137960855390494	0.4884239853232862	0.5391681857548127	0.057891572259575266	0.6658792069238118	0.054010476568037355	0.04979453880759736	0.05822641432847735	0.009619513695155147	0.1603944365468017	29.05	29.8	8.6	0.0	25.477187404997675
subsample80_pilot10	0.8	pdac_gse263733	rare_state_guard	rare_state_guard_off	rare-state guard off	20	20	0.5377012099882712	0.5128122650747186	0.5625901549018238	0.056789155831582956	0.681249645617555	0.05444292184834519	0.049513705585855106	0.059372138110835276	0.011247002692576821	0.15651489456440806	29.05	29.9	8.25	0.0	14.28925643500188
subsample80_pilot10	0.8	pdac_gse263733	reference	default_v3_3	default RMTGuard v3.3	20	20	0.5350805090955103	0.5050166225841416	0.565144395606879	0.06859683051761177	0.6823353923950115	0.053967457725146495	0.04890167674946272	0.05903323870083027	0.011558602674238907	0.16125993088492505	29.05	29.9	9.0	0.0	25.07282982000106
subsample80_seurat_matched20	0.8	baron_pancreas	reference	default_v3_3	default RMTGuard v3.3	20	20	0.5720478438815106	0.5509471407143958	0.5931485470486255	0.048145516994605994	0.6707960201252132	0.07101194800562345	0.06776100982210137	0.07426288618914553	0.007417672213270477	0.08346935090581128	14.9	18.35	6.3	0.0	19.00340902000171
subsample80_seurat_matched20	0.8	kang_ifnb_pbmc	reference	default_v3_3	default RMTGuard v3.3	20	20	0.6401475905189904	0.5738473282320034	0.7064478528059774	0.1512774422446619	0.6635285275816045	0.016377670651193756	0.013605175864009857	0.019150165438377654	0.006326006950415315	0.029872456484062802	5.0	6.7	5.2	0.0	14.33504888499956
subsample80_seurat_matched20	0.8	paul15_hematopoiesis	reference	default_v3_3	default RMTGuard v3.3	20	20	0.27505269343876476	0.2665563022268644	0.28354908465066514	0.01938623297269493	0.4961024154440251						14.4	15.15	6.7	0.0	26.55291634000314
subsample80_seurat_matched20	0.8	pbmc68k_zheng2017	reference	default_v3_3	default RMTGuard v3.3	20	20	0.0	0.0	0.0	0.0	0.0						1.0	0.0	1.0	1.0	1.7831270750008117
subsample80_seurat_matched20	0.8	pdac_gse263733	reference	default_v3_3	default RMTGuard v3.3	20	20	0.5339258876350723	0.5072750171395236	0.560576758130621	0.06080934498733716	0.6901683249233466	0.05250308430413283	0.04777901696342818	0.05722715164483748	0.010778913983777822	0.15412617365055886	28.9	29.65	8.7	0.0	21.21598693999986
