dataset_id	ablation_id	component_family	repeat	variant_label	n_cells	n_genes	label_key	batch_key	label_n	batch_n	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	accepted_embedding_pcs	cluster_n	selected_hvg_n	runtime_seconds	peak_memory_mb	label_ari	label_nmi	batch_ari	batch_nmi	config_whiten	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	batch_aware_fit	run_label	subsample_fraction	source_n_cells	subsample_n_cells
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	5	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	17.86340349999955	299.04638671875	0.6032314411816257	0.6256016115193637	0.0299388995333804	0.0414119585982418	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	5	batch residualized fit	800	15701	cell	batch	8	8	ok		5	6	6	4	2000	16.431865699996706	383.5665054321289	0.368573219120509	0.5055344277009394	0.0003404333084117	0.0153384706386069	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	6	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	5	5	5	2000	15.155664000005345	299.6588144302368	0.5443467797001282	0.6301639016993251	0.0193849795883386	0.039866368275828	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	6	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	5	2000	13.142471899991506	299.04683208465576	0.5443467797001282	0.6301639016993251	0.0193849795883386	0.039866368275828	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	6	rare-state guard off	800	15701	cell	batch	8	8	ok		5	6	6	4	2000	10.399541099992348	299.0470943450928	0.5106113068004176	0.6257322535062781	0.0086741751090079	0.0167126244776822	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	6	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	6	2000	18.452549200010253	299.0464515686035	0.7696078945064415	0.7103552150595398	0.0169770922814434	0.0343004884131502	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	6	batch residualized fit	800	15701	cell	batch	8	8	ok		6	9	9	5	2000	19.59670909999113	383.5665054321289	0.561633356519995	0.5960526148777274	0.0142972170325879	0.0277073186469955	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	7	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	6	6	4	2000	15.038337899997714	299.657790184021	0.5638233241110997	0.6398082895297732	0.0058712639277001	0.0173693215485018	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	7	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	6	2000	13.410882900003344	299.0467176437378	0.7744674525710823	0.7211860300050165	0.019968443078241	0.0379174468162551	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	7	rare-state guard off	800	15701	cell	batch	8	8	ok		5	5	5	5	2000	10.247775700001512	299.04633712768555	0.7896626149620521	0.7298005845116635	0.0195195963263786	0.0369114406301314	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	7	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	16.95353789998626	299.0515422821045	0.5907582957619918	0.6212581071342677	0.023128778833419	0.0341922633979783	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	7	batch residualized fit	800	15701	cell	batch	8	8	ok		6	7	7	6	2000	17.38768290000735	383.5665054321289	0.6899875705975036	0.6389143566120413	0.0109713499639372	0.0274045574748285	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
