calibration_type	prevalence	effect_size	repeat	n_cells	n_genes	ari	nmi	rare_precision	rare_recall	rare_f1	power_pass	rare_ari_floor	rare_f1_floor	fixed_ari	fixed_nmi	fixed_rare_f1	n_signal_pcs	accepted_embedding_pcs	cluster_n	analysis_status	no_call_reason	rare_state_guard	rare_state_guard_selected	rare_state_guard_reason	rare_state_binary_fraction	rare_state_binary_separation	rare_state_binary_silhouette	selected_hvg_n	mp_edge	selected_edge	bulk_ks	null_false_positive_rate	runtime_seconds	peak_memory_mb
rare_state_power	0.08	6.0	2	220	500	0.1583931651888283	0.3780654095298802	1.0	1.0	1.0	1	0.8	0.7	1.0	1.0	1.0	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.5443378124770644	0.4444648523174682	500	6.071677077959759	6.255064297827855	0.0134426647518303		3.0720901000022423	10.589143753051758
rare_state_power	0.08	6.0	3	220	500	0.235620903425591	0.4723099841273099	1.0	1.0	1.0	1	0.8	0.7	1.0	1.0	1.0	2	2	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.536538530591309	0.6790987286511628	500	6.124278090596689	6.30925405659635	0.0186532364128294		2.0902729999943404	9.9507417678833
rare_state_power	0.02	2.5	4	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0012158394849921	0.0005121238679212	0.0408163265306122	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.409450749959943	6.60303999043246	0.0227048649645013		0.1207466000050772	6.621109962463379
rare_state_power	0.02	2.5	5	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0003411725805889	0.0321523749470658	0.0695652173913043	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.24905861226695	6.437803413906087	0.0124733863979141		0.1469192999938968	6.621075630187988
rare_state_power	0.02	2.5	6	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.0066857759765629	0.0275520409106146	0.0629921259842519	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.261951976433116	6.451086205602542	0.0124850215936527		0.1504088999936357	6.621041297912598
rare_state_power	0.02	2.5	7	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0003411725805889	0.0321523749470658	0.0695652173913043	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.2887743715015	6.478718736717134	0.017452353572287		0.1231963000027462	6.621070861816406
rare_state_power	0.02	2.5	8	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.0017709965880048	0.0049649502077154	0.05	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.148956138508489	6.334677473298389	0.0090270646273995		0.127366400003666	6.620954513549805
rare_state_power	0.02	2.5	9	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.00483540360153	0.0019137769350458	0.0428571428571428	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.2352324864555175	6.423559687695038	0.0129886290977276		0.1266332999803125	6.621268272399902
rare_state_power	0.02	2.5	10	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.0020273220963785	0.0047779467048107	0.0495867768595041	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.188383193488214	6.375295371912827	0.0115710707063266		0.1201996999734547	6.621437072753906
rare_state_power	0.02	2.5	11	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0044602623529616	0.0348229224005285	0.073394495412844	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.185389518599371	6.372211276913033	0.0125909934475643		0.1214463999785948	6.621748924255371
